event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Juventus,away, 23 ,Goal, Filip Kostić , Adrien Rabiot 
2,1,Inter,home, 30 ,Yellow card, Nicolo Barella ,
3,1,Juventus,away, 31 ,Yellow card, Federico Gatti ,
4,1,Inter,home, 63 ,Substitution, Danilo D'Ambrosio , Federico Dimarco 
5,1,Inter,home, 63 ,Substitution, Henrikh Mkhitaryan , Nicolo Barella 
6,1,Juventus,away, 66 ,Substitution, Federico Chiesa , Matías Soulé 
7,1,Juventus,away, 71 ,Yellow card, Adrien Rabiot ,
8,1,Juventus,away, 75 ,Substitution, Juan Cuadrado , Mattia De Sciglio 
9,1,Inter,home, 79 ,Substitution, Edin Dzeko , Romelu Lukaku 
10,1,Inter,home, 79 ,Substitution, Joaquín Correa , Matteo Darmian 
11,1,Juventus,away, 83 ,Substitution, Leandro Paredes , Federico Chiesa 
12,1,Inter,home, 83 ,Substitution, Raoul Bellanova , Denzel Dumfries 
13,1,Juventus,away, 88 ,Yellow card, Danilo ,
14,1,Juventus,away, 91 ,Yellow card, Leandro Paredes ,
15,1,Inter,home, 97 ,Yellow card, Danilo D'Ambrosio ,
16,1,Inter,home, 97 ,Yellow card, Marcelo Brozović ,
17,1,Inter,home, 98 ,Red card, Danilo D'Ambrosio ,
18,1,Juventus,away, 98 ,Red card, Leandro Paredes ,
19,2,Roma,away, 8 ,Yellow card, Roger Ibañez ,
20,2,Lazio,home, 25 ,Yellow card, Luis Alberto ,
21,2,Roma,away, 32 ,Second yellow card, Roger Ibañez ,
22,2,Roma,away, 45 ,Substitution, Diego Llorente , Paulo Dybala 
23,2,Lazio,home, 59 ,Yellow card, Alessio Romagnoli ,
24,2,Lazio,home, 65 ,Goal, Mattia Zaccagni ,
25,2,Roma,away, 66 ,Substitution, Tammy Abraham , Andrea Belotti 
26,2,Roma,away, 66 ,Substitution, Nemanja Matic , Georginio Wijnaldum 
27,2,Lazio,home, 67 ,Disallowed goal,Disallowed goal,
28,2,Roma,away, 71 ,Yellow card, Bryan Cristante ,
29,2,Roma,away, 78 ,Substitution, Stephan El Shaarawy , Diego Llorente 
30,2,Roma,away, 80 ,Yellow card, Gianluca Mancini ,
31,2,Lazio,home, 81 ,Substitution, Matteo Cancellieri , Mattia Zaccagni 
32,2,Roma,away, 84 ,Substitution, Ola Solbakken , Lorenzo Pellegrini 
33,2,Lazio,home, 89 ,Substitution, Toma Bašić , Pedro 
34,2,Lazio,home, 89 ,Yellow card, Matteo Cancellieri ,
35,2,Lazio,home, 92 ,Yellow card, Toma Bašić ,
36,2,Roma,away, 97 ,Red card, Bryan Cristante ,
37,2,Lazio,home, 97 ,Red card, Adam Marušić ,
38,3,Napoli,away, 9 ,Goal, Victor Osimhen , Piotr Zieliński 
39,3,Torino,home, 20 ,Yellow card, Andreaw Gravillon ,
40,3,Napoli,away, 35 ,Penalty, Khvicha Kvaratskhelia , Penalty 
41,3,Napoli,away, 51 ,Goal, Victor Osimhen , Mathías Olivera 
42,3,Torino,home, 54 ,Substitution, Koffi Djidji , Andreaw Gravillon 
43,3,Torino,home, 54 ,Substitution, Ivan Ilić , Karol Linetty 
44,3,Torino,home, 54 ,Substitution, Alessandro Buongiorno , Mërgim Vojvoda 
45,3,Napoli,away, 65 ,Substitution, Eljif Elmas , Hirving Lozano 
46,3,Napoli,away, 65 ,Substitution, Tanguy Ndombele , Piotr Zieliński 
47,3,Napoli,away, 68 ,Goal, Tanguy Ndombele , Khvicha Kvaratskhelia 
48,3,Napoli,away, 69 ,Yellow card, Tanguy Ndombele ,
49,3,Napoli,away, 71 ,Substitution, Giovanni Simeone , Victor Osimhen 
50,3,Napoli,away, 72 ,Substitution, Leo Østigård , Amir Rrahmani 
51,3,Torino,home, 75 ,Substitution, Ola Aina , Wilfried Singo 
52,3,Napoli,away, 85 ,Substitution, Gianluca Gaetano , Stanislav Lobotka 
53,3,Torino,home, 85 ,Substitution, Demba Seck , Nikola Vlašić 
54,4,Lecce,away, 25 ,Yellow card, Alexis Blin ,
