Team,Position,PL,W,D,L,GD,PTS
 Napoli , 1 , 27 , 23 , 2 , 2 , 48 ,71
 Lazio , 2 , 27 , 15 , 7 , 5 , 23 ,52
 Inter , 3 , 27 , 16 , 2 , 9 , 16 ,50
 Milan , 4 , 27 , 14 , 6 , 7 , 8 ,48
 Roma , 5 , 27 , 14 , 5 , 8 , 9 ,47
 Atalanta , 6 , 27 , 13 , 6 , 8 , 13 ,45
 Juventus , 7 , 27 , 17 , 5 , 5 , 23 ,41
 Udinese , 8 , 27 , 9 , 11 , 7 , 6 ,38
 Fiorentina , 9 , 27 , 10 , 7 , 10 , 1 ,37
 Bologna , 10 , 27 , 10 , 7 , 10 , -3 ,37
 Torino , 11 , 27 , 10 , 7 , 10 , -4 ,37
 Sassuolo , 12 , 27 , 10 , 6 , 11 , -5 ,36
 Monza , 13 , 27 , 9 , 7 , 11 , -5 ,34
 Empoli , 14 , 27 , 6 , 10 , 11 , -12 ,28
 Lecce , 15 , 27 , 6 , 9 , 12 , -8 ,27
 Salernitana , 16 , 27 , 6 , 9 , 12 , -16 ,27
 Spezia , 17 , 27 , 5 , 9 , 13 , -20 ,24
 Hellas Verona , 18 , 27 , 4 , 7 , 16 , -19 ,19
 Sampdoria , 19 , 27 , 3 , 6 , 18 , -28 ,15
 Cremonese , 20 , 27 , 1 , 10 , 16 , -27 ,13
